Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
JOY,84.05906559,108.367809,-32.10448937,JOY-1,BIO_GUN_NOM_RAW_DIG,BIO-JOY_GUN-JOY_JOY-NOM_JOY-RAW_DIG-JOY,BIO-JOY-1_GUN-JOY-1_JOY-NOM-1_JOY-RAW-1_DIG-JOY-2,BIO-1_GUN-1_NOM-1_RAW-1_DIG-2,0,outer
PRO,-20.54790941,-114.716143,50.09094763,PRO-13,HOT_PIG_ALL,HOT-PRO_PIG-PRO_ALL-PRO,HOT-PRO-13_PIG-PRO-13_ALL-PRO-10,HOT-13_PIG-13_ALL-10,0,outer
PAW,-113.3547044,18.42387798,-36.97350437,PAW-4,GYM_SAY_ZIG_VAN,GYM-PAW_PAW-SAY_PAW-ZIG_PAW-VAN,GYM-PAW-4_PAW-SAY-4_PAW-ZIG-4_PAW-VAN-4,GYM-4_SAY-4_ZIG-4_VAN-4,0,outer
TAX,-96.35106441,69.70448498,-14.31714737,TAX-4_TAX-3,AGO_FLY_OAR_SAY,AGO-TAX_FLY-TAX_OAR-TAX_SAY-TAX,AGO-TAX-3_FLY-TAX-3_OAR-TAX-3_SAY-TAX-4,AGO-3_FLY-3_OAR-3_SAY-4,0,inner
PIE,18.90968059,136.201273,-30.11467737,PIE-1,ELF_GAL_NIX_OVA_RUM,ELF-PIE_GAL-PIE_NIX-PIE_OVA-PIE_PIE-RUM,ELF-PIE-1_GAL-PIE-1_NIX-PIE-1_OVA-PIE-1_PIE-RUM-1,ELF-1_GAL-1_NIX-1_OVA-1_RUM-5,1,inner
SAD,-46.30678341,-142.987594,11.08167163,SAD-10,ALL_GOO_HIP_WOW_KEY,ALL-SAD_GOO-SAD_HIP-SAD_SAD-WOW_KEY-SAD,ALL-SAD-10_GOO-SAD-10_HIP-SAD-10_SAD-WOW-10_KEY-SAD-9,ALL-10_GOO-10_HIP-10_WOW-10_KEY-9,0,outer
RAW,76.51529459,115.720687,-61.04676337,RAW-1,FRO_GUN_JOY_WHO,FRO-RAW_GUN-RAW_JOY-RAW_RAW-WHO,FRO-RAW-1_GUN-RAW-1_JOY-RAW-1_RAW-WHO-1,FRO-1_GUN-1_JOY-1_WHO-1,0,outer
SAY,-108.8266474,31.44797198,-6.289134372,SAY-4,DAY_PAW_TAX_ZIG,DAY-SAY_PAW-SAY_SAY-TAX_SAY-ZIG,DAY-SAY-4_PAW-SAY-4_SAY-TAX-4_SAY-ZIG-4,DAY-4_PAW-4_TAX-4_ZIG-4,0,outer
TAG,101.8871626,36.89463698,-54.28216537,TAG-2,CIS_OFF_SKY_TUB,CIS-TAG_OFF-TAG_SKY-TAG_TAG-TUB,CIS-TAG-2_OFF-TAG-2_SKY-TAG-2_TAG-TUB-2,CIS-2_OFF-2_SKY-2_TUB-2,0,inner
DRY,-56.95802341,99.52146798,25.78648963,DRY-5,VOW_SHY_FLY_FUN,DRY-VOW_DRY-SHY_DRY-FLY_DRY-FUN,DRY-VOW-5_DRY-SHY-5_DRY-FLY-5_DRY-FUN-5,VOW-5_SHY-5_FLY-5_FUN-5,0,outer
