Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
DUI-SKY,2,97.20427659,35.23947098,-28.36083737,112.3883416,55.49964198,-20.27930937,DUI_SKY,DUI-SKY-2,"['DIG', 'HIT', 'TUB', 'GUN', 'SUN', 'TAG', 'IVY', 'NOM', 'ACE', 'FOX']",DUI-2_SKY-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-TUB-2', 'DUI-GUN-2', 'DUI-SUN-2', 'DUI-TAG-2', 'DUI-IVY-2', 'DUI-NOM-2', 'ACE-DUI-7', 'FOX-SKY-2', 'IVY-SKY-2', 'SKY-SUN-2', 'SKY-TUB-2', 'SKY-TAG-2']","['DIG-DUI', 'DUI-HIT', 'DUI-TUB', 'DUI-GUN', 'DUI-SUN', 'DUI-TAG', 'DUI-IVY', 'DUI-NOM', 'ACE-DUI', 'FOX-SKY', 'IVY-SKY', 'SKY-SUN', 'SKY-TUB', 'SKY-TAG']","['DIG-2', 'HIT-2', 'TUB-2', 'GUN-2', 'SUN-2', 'TAG-2', 'IVY-2', 'NOM-2', 'ACE-7', 'FOX-2', 'IVY-2', 'SUN-2', 'TUB-2', 'TAG-2']",0,in_to_out,right
DUI-TUB,2,97.20427659,55.49964198,-42.85213937,107.6198766,63.81006798,-20.27930937,DUI_TUB,DUI-TUB-2,"['DIG', 'HIT', 'SKY', 'GUN', 'SUN', 'TAG', 'IVY', 'NOM', 'ACE', 'ASK']",DUI-2_TUB-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-SKY-2', 'DUI-GUN-2', 'DUI-SUN-2', 'DUI-TAG-2', 'DUI-IVY-2', 'DUI-NOM-2', 'ACE-DUI-7', 'ASK-TUB-2', 'DIG-TUB-2', 'GUN-TUB-2', 'SKY-TUB-2', 'TAG-TUB-2']","['DIG-DUI', 'DUI-HIT', 'DUI-SKY', 'DUI-GUN', 'DUI-SUN', 'DUI-TAG', 'DUI-IVY', 'DUI-NOM', 'ACE-DUI', 'ASK-TUB', 'DIG-TUB', 'GUN-TUB', 'SKY-TUB', 'TAG-TUB']","['DIG-2', 'HIT-2', 'SKY-2', 'GUN-2', 'SUN-2', 'TAG-2', 'IVY-2', 'NOM-2', 'ACE-7', 'ASK-2', 'DIG-2', 'GUN-2', 'SKY-2', 'TAG-2']",0,in_to_out,right
DUI-GUN,2,82.23037459,55.49964198,-50.55793937,97.20427659,83.33962298,-20.27930937,DUI_GUN,DUI-GUN-2,"['DIG', 'HIT', 'SKY', 'TUB', 'SUN', 'TAG', 'IVY', 'NOM', 'ACE', 'FRO', 'JOY', 'RAW', 'WHO', 'SPY', 'ASK', 'OFF']",DUI-2_GUN-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-SKY-2', 'DUI-TUB-2', 'DUI-SUN-2', 'DUI-TAG-2', 'DUI-IVY-2', 'DUI-NOM-2', 'ACE-DUI-7', 'FRO-GUN-1', 'GUN-JOY-1', 'GUN-RAW-1', 'GUN-WHO-1', 'GUN-NOM-1', 'GUN-SPY-1', 'ASK-GUN-2', 'DIG-GUN-2', 'GUN-OFF-2', 'GUN-TAG-2', 'GUN-TUB-2']","['DIG-DUI', 'DUI-HIT', 'DUI-SKY', 'DUI-TUB', 'DUI-SUN', 'DUI-TAG', 'DUI-IVY', 'DUI-NOM', 'ACE-DUI', 'FRO-GUN', 'GUN-JOY', 'GUN-RAW', 'GUN-WHO', 'GUN-NOM', 'GUN-SPY', 'ASK-GUN', 'DIG-GUN', 'GUN-OFF', 'GUN-TAG', 'GUN-TUB']","['DIG-2', 'HIT-2', 'SKY-2', 'TUB-2', 'SUN-2', 'TAG-2', 'IVY-2', 'NOM-2', 'ACE-7', 'FRO-1', 'JOY-1', 'RAW-1', 'WHO-1', 'NOM-1', 'SPY-1', 'ASK-2', 'DIG-2', 'OFF-2', 'TAG-2', 'TUB-2']",0,inner,right
DUI-SUN,2,97.20427659,37.50039698,-20.27930937,105.0021466,55.49964198,-2.583674372,DUI_SUN,DUI-SUN-2,"['DIG', 'HIT', 'SKY', 'TUB', 'GUN', 'TAG', 'IVY', 'NOM', 'ACE', 'EYE']",DUI-2_SUN-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-SKY-2', 'DUI-TUB-2', 'DUI-GUN-2', 'DUI-TAG-2', 'DUI-IVY-2', 'DUI-NOM-2', 'ACE-DUI-7', 'SKY-SUN-2', 'HIT-SUN-7', 'IVY-SUN-7', 'ACE-SUN-7', 'EYE-SUN-7']","['DIG-DUI', 'DUI-HIT', 'DUI-SKY', 'DUI-TUB', 'DUI-GUN', 'DUI-TAG', 'DUI-IVY', 'DUI-NOM', 'ACE-DUI', 'HIT-SUN', 'IVY-SUN', 'SKY-SUN', 'ACE-SUN', 'EYE-SUN']","['DIG-2', 'HIT-2', 'SKY-2', 'TUB-2', 'GUN-2', 'TAG-2', 'IVY-2', 'NOM-2', 'ACE-7', 'SKY-2', 'HIT-7', 'IVY-7', 'ACE-7', 'EYE-7']",0,in_to_out,right
DUI-TAG,2,97.20427659,36.89463698,-54.28216537,101.8871626,55.49964198,-20.27930937,DUI_TAG,DUI-TAG-2,"['DIG', 'HIT', 'SKY', 'TUB', 'GUN', 'SUN', 'IVY', 'NOM', 'ACE', 'ASK', 'BOY', 'CIS', 'ETA', 'FOX', 'OFF', 'ORC']",DUI-2_TAG-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-SKY-2', 'DUI-TUB-2', 'DUI-GUN-2', 'DUI-SUN-2', 'DUI-IVY-2', 'DUI-NOM-2', 'ACE-DUI-7', 'ASK-TAG-2', 'BOY-TAG-2', 'CIS-TAG-2', 'ETA-TAG-2', 'FOX-TAG-2', 'GUN-TAG-2', 'IVY-TAG-2', 'OFF-TAG-2', 'ORC-TAG-2', 'SKY-TAG-2', 'TAG-TUB-2']","['DIG-DUI', 'DUI-HIT', 'DUI-SKY', 'DUI-TUB', 'DUI-GUN', 'DUI-SUN', 'DUI-IVY', 'DUI-NOM', 'ACE-DUI', 'ASK-TAG', 'BOY-TAG', 'CIS-TAG', 'ETA-TAG', 'FOX-TAG', 'GUN-TAG', 'IVY-TAG', 'OFF-TAG', 'ORC-TAG', 'SKY-TAG', 'TAG-TUB']","['DIG-2', 'HIT-2', 'SKY-2', 'TUB-2', 'GUN-2', 'SUN-2', 'IVY-2', 'NOM-2', 'ACE-7', 'ASK-2', 'BOY-2', 'CIS-2', 'ETA-2', 'FOX-2', 'GUN-2', 'IVY-2', 'OFF-2', 'ORC-2', 'SKY-2', 'TUB-2']",0,inner,right
DUI-IVY,2,94.59196259,13.11335398,-20.27930937,97.20427659,55.49964198,-16.07717937,DUI_IVY,DUI-IVY-2,"['DIG', 'HIT', 'SKY', 'TUB', 'GUN', 'SUN', 'TAG', 'NOM', 'ACE', 'ETA', 'FOX', 'TUX', 'EYE', 'FIX', 'GAS', 'LUG']",DUI-2_IVY-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-SKY-2', 'DUI-TUB-2', 'DUI-GUN-2', 'DUI-SUN-2', 'DUI-TAG-2', 'DUI-NOM-2', 'ACE-DUI-7', 'ETA-IVY-2', 'FOX-IVY-2', 'IVY-TUX-2', 'IVY-SKY-2', 'IVY-TAG-2', 'IVY-SUN-7', 'ACE-IVY-7', 'EYE-IVY-7', 'FIX-IVY-7', 'GAS-IVY-11', 'IVY-LUG-7']","['DIG-DUI', 'DUI-HIT', 'DUI-SKY', 'DUI-TUB', 'DUI-GUN', 'DUI-SUN', 'DUI-TAG', 'DUI-NOM', 'ACE-DUI', 'ETA-IVY', 'FOX-IVY', 'IVY-TUX', 'IVY-SUN', 'IVY-SKY', 'IVY-TAG', 'ACE-IVY', 'EYE-IVY', 'FIX-IVY', 'GAS-IVY', 'IVY-LUG']","['DIG-2', 'HIT-2', 'SKY-2', 'TUB-2', 'GUN-2', 'SUN-2', 'TAG-2', 'NOM-2', 'ACE-7', 'ETA-2', 'FOX-2', 'TUX-2', 'SKY-2', 'TAG-2', 'SUN-7', 'ACE-7', 'EYE-7', 'FIX-7', 'GAS-11', 'LUG-8']",0,inner,right
DUI-NOM,2,76.73077159,55.49964198,-20.27930937,97.20427659,86.61888398,-8.750120372,DUI_NOM,DUI-NOM-2,"['DIG', 'HIT', 'SKY', 'TUB', 'GUN', 'SUN', 'TAG', 'IVY', 'ACE', 'ARM', 'BIO', 'ELF', 'JOY', 'WET', 'SPY', 'BRO']",DUI-2_NOM-2,"['DIG-DUI-2', 'DUI-HIT-2', 'DUI-SKY-2', 'DUI-TUB-2', 'DUI-GUN-2', 'DUI-SUN-2', 'DUI-TAG-2', 'DUI-IVY-2', 'ACE-DUI-7', 'ARM-NOM-1', 'BIO-NOM-1', 'ELF-NOM-1', 'GUN-NOM-1', 'JOY-NOM-1', 'NOM-SPY-1', 'DIG-NOM-2', 'NOM-WET-7', 'HIT-NOM-7', 'ACE-NOM-7', 'BRO-NOM-7']","['DIG-DUI', 'DUI-HIT', 'DUI-SKY', 'DUI-TUB', 'DUI-GUN', 'DUI-SUN', 'DUI-TAG', 'DUI-IVY', 'ACE-DUI', 'ARM-NOM', 'BIO-NOM', 'ELF-NOM', 'GUN-NOM', 'JOY-NOM', 'NOM-WET', 'NOM-SPY', 'DIG-NOM', 'HIT-NOM', 'ACE-NOM', 'BRO-NOM']","['DIG-2', 'HIT-2', 'SKY-2', 'TUB-2', 'GUN-2', 'SUN-2', 'TAG-2', 'IVY-2', 'ACE-7', 'ARM-1', 'BIO-1', 'ELF-1', 'GUN-1', 'JOY-1', 'SPY-1', 'DIG-2', 'WET-7', 'HIT-7', 'ACE-7', 'BRO-7']",0,inner,right
ETA-TUX,2,97.82119359,-11.23492602,-50.66639537,107.8582086,-10.49737002,-23.19177837,ETA_TUX,ETA-TUX-2,"['BAH', 'BOY', 'CIS', 'IVY', 'FOX', 'TAG', 'BAM', 'LUG', 'PAY', 'JAR', 'WIN', 'GAS']",ETA-2_TUX-2,"['BAH-ETA-2', 'BOY-ETA-2', 'CIS-ETA-2', 'ETA-IVY-2', 'ETA-FOX-2', 'ETA-TAG-2', 'BAM-ETA-8', 'ETA-LUG-8', 'ETA-PAY-8', 'ETA-JAR-8', 'ETA-WIN-8', 'FOX-TUX-2', 'IVY-TUX-2', 'LUG-TUX-8', 'PAY-TUX-8', 'GAS-TUX-11']","['BAH-ETA', 'BOY-ETA', 'CIS-ETA', 'ETA-IVY', 'ETA-FOX', 'ETA-TAG', 'BAM-ETA', 'ETA-LUG', 'ETA-PAY', 'ETA-JAR', 'ETA-WIN', 'FOX-TUX', 'IVY-TUX', 'LUG-TUX', 'PAY-TUX', 'GAS-TUX']","['BAH-2', 'BOY-2', 'CIS-2', 'IVY-2', 'FOX-2', 'TAG-2', 'BAM-8', 'LUG-8', 'PAY-8', 'JAR-8', 'WIN-8', 'FOX-2', 'IVY-2', 'LUG-8', 'PAY-8', 'GAS-11']",0,in_to_out,right
ETA-IVY,2,94.59196259,-10.49737002,-50.66639537,97.82119359,13.11335398,-16.07717937,ETA_IVY,ETA-IVY-2,"['BAH', 'BOY', 'CIS', 'TUX', 'FOX', 'TAG', 'BAM', 'LUG', 'PAY', 'JAR', 'WIN', 'DUI', 'SUN', 'SKY', 'ACE', 'EYE', 'FIX', 'GAS']",ETA-2_IVY-2,"['BAH-ETA-2', 'BOY-ETA-2', 'CIS-ETA-2', 'ETA-TUX-2', 'ETA-FOX-2', 'ETA-TAG-2', 'BAM-ETA-8', 'ETA-LUG-8', 'ETA-PAY-8', 'ETA-JAR-8', 'ETA-WIN-8', 'DUI-IVY-2', 'FOX-IVY-2', 'IVY-TUX-2', 'IVY-SKY-2', 'IVY-TAG-2', 'IVY-SUN-7', 'ACE-IVY-7', 'EYE-IVY-7', 'FIX-IVY-7', 'GAS-IVY-11', 'IVY-LUG-7']","['BAH-ETA', 'BOY-ETA', 'CIS-ETA', 'ETA-TUX', 'ETA-FOX', 'ETA-TAG', 'BAM-ETA', 'ETA-LUG', 'ETA-PAY', 'ETA-JAR', 'ETA-WIN', 'DUI-IVY', 'FOX-IVY', 'IVY-TUX', 'IVY-SUN', 'IVY-SKY', 'IVY-TAG', 'ACE-IVY', 'EYE-IVY', 'FIX-IVY', 'GAS-IVY', 'IVY-LUG']","['BAH-2', 'BOY-2', 'CIS-2', 'TUX-2', 'FOX-2', 'TAG-2', 'BAM-8', 'LUG-8', 'PAY-8', 'JAR-8', 'WIN-8', 'DUI-2', 'FOX-2', 'TUX-2', 'SKY-2', 'TAG-2', 'SUN-7', 'ACE-7', 'EYE-7', 'FIX-7', 'GAS-11', 'LUG-8']",0,inner,right
ETA-FOX,2,97.82119359,-10.49737002,-50.66639537,113.4612856,14.11545098,-39.83334437,ETA_FOX,ETA-FOX-2,"['BAH', 'BOY', 'CIS', 'TUX', 'IVY', 'TAG', 'BAM', 'LUG', 'PAY', 'JAR', 'WIN', 'SKY']",ETA-2_FOX-2,"['BAH-ETA-2', 'BOY-ETA-2', 'CIS-ETA-2', 'ETA-TUX-2', 'ETA-IVY-2', 'ETA-TAG-2', 'BAM-ETA-8', 'ETA-LUG-8', 'ETA-PAY-8', 'ETA-JAR-8', 'ETA-WIN-8', 'BOY-FOX-2', 'FOX-SKY-2', 'FOX-IVY-2', 'FOX-TUX-2', 'FOX-TAG-2']","['BAH-ETA', 'BOY-ETA', 'CIS-ETA', 'ETA-TUX', 'ETA-IVY', 'ETA-TAG', 'BAM-ETA', 'ETA-LUG', 'ETA-PAY', 'ETA-JAR', 'ETA-WIN', 'BOY-FOX', 'FOX-SKY', 'FOX-IVY', 'FOX-TUX', 'FOX-TAG']","['BAH-2', 'BOY-2', 'CIS-2', 'TUX-2', 'IVY-2', 'TAG-2', 'BAM-8', 'LUG-8', 'PAY-8', 'JAR-8', 'WIN-8', 'BOY-2', 'SKY-2', 'IVY-2', 'TUX-2', 'TAG-2']",0,in_to_out,right
ETA-TAG,2,97.82119359,-10.49737002,-54.28216537,101.8871626,36.89463698,-50.66639537,ETA_TAG,ETA-TAG-2,"['BAH', 'BOY', 'CIS', 'TUX', 'IVY', 'FOX', 'BAM', 'LUG', 'PAY', 'JAR', 'WIN', 'ASK', 'DUI', 'GUN', 'OFF', 'ORC', 'SKY', 'TUB']",ETA-2_TAG-2,"['BAH-ETA-2', 'BOY-ETA-2', 'CIS-ETA-2', 'ETA-TUX-2', 'ETA-IVY-2', 'ETA-FOX-2', 'BAM-ETA-8', 'ETA-LUG-8', 'ETA-PAY-8', 'ETA-JAR-8', 'ETA-WIN-8', 'ASK-TAG-2', 'BOY-TAG-2', 'CIS-TAG-2', 'DUI-TAG-2', 'FOX-TAG-2', 'GUN-TAG-2', 'IVY-TAG-2', 'OFF-TAG-2', 'ORC-TAG-2', 'SKY-TAG-2', 'TAG-TUB-2']","['BAH-ETA', 'BOY-ETA', 'CIS-ETA', 'ETA-TUX', 'ETA-IVY', 'ETA-FOX', 'BAM-ETA', 'ETA-LUG', 'ETA-PAY', 'ETA-JAR', 'ETA-WIN', 'ASK-TAG', 'BOY-TAG', 'CIS-TAG', 'DUI-TAG', 'FOX-TAG', 'GUN-TAG', 'IVY-TAG', 'OFF-TAG', 'ORC-TAG', 'SKY-TAG', 'TAG-TUB']","['BAH-2', 'BOY-2', 'CIS-2', 'TUX-2', 'IVY-2', 'FOX-2', 'BAM-8', 'LUG-8', 'PAY-8', 'JAR-8', 'WIN-8', 'ASK-2', 'BOY-2', 'CIS-2', 'DUI-2', 'FOX-2', 'GUN-2', 'IVY-2', 'OFF-2', 'ORC-2', 'SKY-2', 'TUB-2']",0,inner,right
