Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LID,-75.29686741,66.12933398,-99.65481637,LID-3,AIM_EGO_GYM_MOM_WAX_BOX_HUG,AIM-LID_EGO-LID_GYM-LID_LID-MOM_LID-WAX_BOX-LID_HUG-LID,AIM-LID-3_EGO-LID-3_GYM-LID-3_LID-MOM-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_GYM-3_MOM-3_WAX-3_BOX-4_HUG-4,1,inner,left
LIE,25.37320059,-71.04085602,52.34109163,LIE-13_LIE-11_LIE-14,COW_EAR_FAX_GIG_JAM_ZOO_HOT_ZAP_OLD_TAU_PIG_EVE_LAW,COW-LIE_EAR-LIE_FAX-LIE_GIG-LIE_JAM-LIE_LIE-ZOO_HOT-LIE_LIE-ZAP_LIE-OLD_LIE-TAU_LIE-PIG_EVE-LIE_LAW-LIE,COW-LIE-11_EAR-LIE-11_FAX-LIE-11_LIE-ZOO-11_JAM-LIE-13_HOT-LIE-13_LIE-ZAP-13_LIE-PIG-13_GIG-LIE-14_LIE-OLD-14_LIE-TAU-14_EVE-LIE-14_LAW-LIE-14,COW-11_EAR-11_FAX-11_ZOO-11_JAM-13_HOT-13_ZAP-13_PIG-13_GIG-14_OLD-14_TAU-14_EVE-14_LAW-14,0,inner,right
SIP,-28.66803741,143.011165,-69.18081237,SIP-3,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,GUT-SIP-3_HEX-SIP-3_MAY-SIP-3_RUM-SIP-3_SIP-WAX-3,GUT-3_HEX-3_MAY-3_RUM-3_WAX-3,1,inner,left
BOY,108.4197686,11.93373498,-68.75523137,BOY-2,BAH_FOX_ETA_TAG_CIS_ORC,BAH-BOY_BOY-FOX_BOY-ETA_BOY-TAG_BOY-CIS_BOY-ORC,BAH-BOY-2_BOY-FOX-2_BOY-ETA-2_BOY-TAG-2_BOY-CIS-2_BOY-ORC-2,BAH-2_FOX-2_ETA-2_TAG-2_CIS-2_ORC-2,0,outer,right
PAY,104.2987506,-39.62004702,-34.32920937,PAY-8,ETA_JAR_LUG_TUX_WHY_WIN,ETA-PAY_JAR-PAY_LUG-PAY_PAY-TUX_PAY-WHY_PAY-WIN,ETA-PAY-8_JAR-PAY-8_LUG-PAY-8_PAY-TUX-8_PAY-WHY-8_PAY-WIN-8,ETA-8_JAR-8_LUG-8_TUX-8_WHY-8_WIN-8,0,outer,right
AGE,-90.54446141,-39.40249202,-41.39540837,AGE-9,KIT_BED_CHI_DOG_COY_BAR_SIR_ONO_ELK_CUP,AGE-KIT_AGE-BED_AGE-CHI_AGE-DOG_AGE-COY_AGE-BAR_AGE-SIR_AGE-ONO_AGE-ELK_AGE-CUP,AGE-KIT-9_AGE-BED-9_AGE-CHI-9_AGE-DOG-9_AGE-COY-9_AGE-BAR-9_AGE-SIR-9_AGE-ONO-9_AGE-ELK-9_AGE-CUP-9,KIT-9_BED-9_CHI-9_DOG-9_COY-9_BAR-9_SIR-9_ONO-9_ELK-9_CUP-4,0,inner,left
OAK,18.45301759,-148.691116,-31.06690737,OAK-10,CAB_DAD_FOR_GET_ROB,CAB-OAK_DAD-OAK_FOR-OAK_GET-OAK_OAK-ROB,CAB-OAK-10_DAD-OAK-10_FOR-OAK-10_GET-OAK-10_OAK-ROB-10,CAB-10_DAD-10_FOR-10_GET-10_ROB-10,1,outer,right
EON,62.85992059,51.31187898,48.11208163,EON-7,ACE_AHI_BRO_YES_WET_POP_NIL_TOY,ACE-EON_AHI-EON_BRO-EON_EON-YES_EON-WET_EON-POP_EON-NIL_EON-TOY,ACE-EON-7_AHI-EON-7_BRO-EON-7_EON-YES-7_EON-WET-7_EON-POP-7_EON-NIL-7_EON-TOY-7,ACE-7_AHI-7_BRO-7_YES-7_WET-7_POP-7_NIL-7_TOY-7,0,outer,right
MIX,-82.31358541,116.370628,-59.92703137,MIX-3,AGO_AIM_ALA_GUT_HEX_MOM_OAR_WAX,AGO-MIX_AIM-MIX_ALA-MIX_GUT-MIX_HEX-MIX_MIX-MOM_MIX-OAR_MIX-WAX,AGO-MIX-3_AIM-MIX-3_ALA-MIX-3_GUT-MIX-3_HEX-MIX-3_MIX-MOM-3_MIX-OAR-3_MIX-WAX-3,AGO-3_AIM-3_ALA-3_GUT-3_HEX-3_MOM-3_OAR-3_WAX-3,0,outer,left
EGO,-99.14678941,74.90171698,-80.80211637,EGO-3,AIM_GYM_MOM_LID_OAR_BOX,AIM-EGO_EGO-GYM_EGO-MOM_EGO-LID_EGO-OAR_BOX-EGO,AIM-EGO-3_EGO-GYM-3_EGO-MOM-3_EGO-LID-3_EGO-OAR-3_BOX-EGO-4,AIM-3_GYM-3_MOM-3_LID-3_OAR-3_BOX-4,0,outer,left
