Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
33420,9,9,USE,WIG,-74.90389495613809,-100.86283374658554,-36.42363241759879
33421,9,9,USE,WIG,-75.21861853192098,-100.94310299571833,-35.8534900119543
33422,9,9,USE,WIG,-75.53334210770387,-101.02337224485113,-35.28334760630981
33423,9,9,USE,WIG,-75.84806568348677,-101.10364149398393,-34.71320520066532
33424,9,9,USE,WIG,-76.16278925926966,-101.18391074311673,-34.14306279502083
33425,9,9,USE,WIG,-76.47751283505255,-101.26417999224952,-33.57292038937634
33426,9,9,USE,WIG,-76.79223641083544,-101.34444924138232,-33.00277798373185
33427,9,9,USE,WIG,-77.10695998661834,-101.42471849051512,-32.432635578087364
33428,9,9,USE,WIG,-77.42168356240123,-101.50498773964792,-31.862493172442875
33429,9,9,USE,WIG,-77.73640713818412,-101.58525698878071,-31.292350766798386
33430,9,9,USE,WIG,-78.05113071396701,-101.66552623791351,-30.722208361153896
33431,9,9,USE,WIG,-78.3658542897499,-101.74579548704631,-30.152065955509407
33432,9,9,USE,WIG,-78.6805778655328,-101.8260647361791,-29.581923549864918
33433,9,9,USE,WIG,-78.99530144131569,-101.9063339853119,-29.01178114422043
33434,9,9,USE,WIG,-79.31002501709858,-101.9866032344447,-28.44163873857594
33435,9,9,USE,WIG,-79.62474859288147,-102.0668724835775,-27.87149633293145
33436,9,9,USE,WIG,-79.93947216866437,-102.1471417327103,-27.30135392728696
33437,9,9,USE,WIG,-80.25419574444726,-102.2274109818431,-26.73121152164247
33438,9,9,USE,WIG,-80.56891932023015,-102.30768023097589,-26.161069115997982
33439,9,9,USE,WIG,-80.88364289601304,-102.38794948010869,-25.590926710353493
33440,9,9,USE,WIG,-81.19836647179594,-102.46821872924149,-25.020784304709004
33441,9,9,USE,WIG,-81.51309004757883,-102.54848797837428,-24.450641899064514
33442,9,9,USE,WIG,-81.82781362336172,-102.62875722750708,-23.880499493420025
33443,9,9,USE,WIG,-82.14253719914461,-102.70902647663988,-23.310357087775536
33444,9,9,USE,WIG,-82.4572607749275,-102.78929572577267,-22.740214682131047
33445,9,9,USE,WIG,-82.7719843507104,-102.86956497490547,-22.170072276486557
33446,9,9,USE,WIG,-83.08670792649329,-102.94983422403827,-21.599929870842068
33447,9,9,USE,WIG,-83.40143150227618,-103.03010347317107,-21.02978746519758
