TAU-LAW,1,62
LAW-LIE,879,953
LIE-GIG,794,878
ERA-LAW,201,269
ERA-GIG,1161,1240
RIB-ERA,154,200
GIG-LAW,1241,1300
TAU-LIE,712,793
RIB-IRE,1353,1410
OLD-TAU,666,711
LAW-RIB,1301,1352
LAW-FOG,63,108
LAW-IRE,270,329
EVE-OLD,550,612
LIE-EVE,954,1010
FOG-OLD,380,444
IRE-ERA,1111,1160
FOG-RIB,109,153
LAW-EVE,506,549
IRE-EVE,1411,1477
GIG-IRE,1063,1110
TAU-FOG,330,379
LIE-OLD,613,665
OLD-LAW,445,505
EVE-GIG,1011,1062
