Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
EVE-LIE,14,46.6843,22.7277,61.3543,75.8476,32.4808,82.8557,EVE_LIE,EVE-LIE-14,EVE-14_LIE-14,LAW_OLD_GIG_IRE_FAX_COW_EAR_JAM_ZOO_HOT_ZAP_TAU_PIG,EVE-LAW-14_EVE-OLD-14_EVE-GIG-14_EVE-IRE-14_EVE-FAX-14_COW-LIE-11_EAR-LIE-11_FAX-LIE-11_LIE-ZOO-11_JAM-LIE-13_HOT-LIE-13_LIE-ZAP-13_LIE-PIG-13_GIG-LIE-14_LIE-OLD-14_LIE-TAU-14_LAW-LIE-14,EVE-LAW_EVE-OLD_EVE-GIG_EVE-IRE_EVE-FAX_COW-LIE_EAR-LIE_FAX-LIE_GIG-LIE_JAM-LIE_LIE-ZOO_HOT-LIE_LIE-ZAP_LIE-OLD_LIE-TAU_LIE-PIG_LAW-LIE,LAW-14_OLD-14_GIG-14_IRE-14_FAX-11_COW-11_EAR-11_FAX-11_ZOO-11_JAM-13_HOT-13_ZAP-13_PIG-13_GIG-14_OLD-14_TAU-14_LAW-14,0,in_to_out,right
GIG-LIE,14,25.4113,22.7277,60.4107,75.8476,46.0845,61.3543,GIG_LIE,GIG-LIE-14,GIG-14_LIE-14,AIR_COW_FAX_FIX_MAC_ERA_EVE_IRE_LAW_YES_EAR_JAM_ZOO_HOT_ZAP_OLD_TAU_PIG,AIR-GIG-11_COW-GIG-11_FAX-GIG-11_FIX-GIG-11_GIG-MAC-11_ERA-GIG-14_EVE-GIG-14_GIG-IRE-14_GIG-LAW-14_GIG-YES-14_COW-LIE-11_EAR-LIE-11_FAX-LIE-11_LIE-ZOO-11_JAM-LIE-13_HOT-LIE-13_LIE-ZAP-13_LIE-PIG-13_LIE-OLD-14_LIE-TAU-14_EVE-LIE-14_LAW-LIE-14,AIR-GIG_COW-GIG_FAX-GIG_FIX-GIG_GIG-MAC_ERA-GIG_EVE-GIG_GIG-IRE_GIG-LAW_GIG-YES_COW-LIE_EAR-LIE_FAX-LIE_JAM-LIE_LIE-ZOO_HOT-LIE_LIE-ZAP_LIE-OLD_LIE-TAU_LIE-PIG_EVE-LIE_LAW-LIE,AIR-11_COW-11_FAX-11_FIX-11_MAC-11_ERA-14_EVE-14_IRE-14_LAW-14_YES-7_COW-11_EAR-11_FAX-11_ZOO-11_JAM-13_HOT-13_ZAP-13_PIG-13_OLD-14_TAU-14_EVE-14_LAW-14,0,inner,right
LAW-LIE,14,30.4079,9.60728,61.3543,75.8476,22.7277,74.5791,LAW_LIE,LAW-LIE-14,LAW-14_LIE-14,ERA_EVE_FOG_GIG_IRE_RIB_TAU_OLD_SOY_COW_EAR_FAX_JAM_ZOO_HOT_ZAP_PIG,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-TAU-14_LAW-OLD-14_LAW-SOY-14_COW-LIE-11_EAR-LIE-11_FAX-LIE-11_LIE-ZOO-11_JAM-LIE-13_HOT-LIE-13_LIE-ZAP-13_LIE-PIG-13_GIG-LIE-14_LIE-OLD-14_LIE-TAU-14_EVE-LIE-14,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-TAU_LAW-OLD_LAW-SOY_COW-LIE_EAR-LIE_FAX-LIE_GIG-LIE_JAM-LIE_LIE-ZOO_HOT-LIE_LIE-ZAP_LIE-OLD_LIE-TAU_LIE-PIG_EVE-LIE,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_TAU-14_OLD-14_SOY-6_COW-11_EAR-11_FAX-11_ZOO-11_JAM-13_HOT-13_ZAP-13_PIG-13_GIG-14_OLD-14_TAU-14_EVE-14,0,inner,right
LIE-OLD,14,67.204,-2.88558,61.3543,75.8476,22.7277,83.3286,LIE_OLD,LIE-OLD-14,LIE-14_OLD-14,COW_EAR_FAX_GIG_JAM_ZOO_HOT_ZAP_TAU_PIG_EVE_LAW_LAB_FOG,COW-LIE-11_EAR-LIE-11_FAX-LIE-11_LIE-ZOO-11_JAM-LIE-13_HOT-LIE-13_LIE-ZAP-13_LIE-PIG-13_GIG-LIE-14_LIE-TAU-14_EVE-LIE-14_LAW-LIE-14_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_OLD-TAU-14_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14,COW-LIE_EAR-LIE_FAX-LIE_GIG-LIE_JAM-LIE_LIE-ZOO_HOT-LIE_LIE-ZAP_LIE-TAU_LIE-PIG_EVE-LIE_LAW-LIE_HOT-OLD_LAB-OLD_OLD-TAU_OLD-ZAP_EVE-OLD_FOG-OLD_LAW-OLD,COW-11_EAR-11_FAX-11_ZOO-11_JAM-13_HOT-13_ZAP-13_PIG-13_GIG-14_TAU-14_EVE-14_LAW-14_HOT-13_LAB-13_ZAP-13_TAU-14_EVE-14_FOG-14_LAW-14,0,in_to_out,right
EVE-OLD,14,46.6843,-2.88558,82.8557,67.204,32.4808,83.3286,EVE_OLD,EVE-OLD-14,EVE-14_OLD-14,LAW_GIG_IRE_LIE_FAX_HOT_LAB_TAU_ZAP_FOG,EVE-LAW-14_EVE-GIG-14_EVE-IRE-14_EVE-LIE-14_EVE-FAX-14_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_LIE-OLD-14_OLD-TAU-14_FOG-OLD-14_LAW-OLD-14,EVE-LAW_EVE-GIG_EVE-IRE_EVE-LIE_EVE-FAX_HOT-OLD_LAB-OLD_LIE-OLD_OLD-TAU_OLD-ZAP_FOG-OLD_LAW-OLD,LAW-14_GIG-14_IRE-14_LIE-14_FAX-11_HOT-13_LAB-13_ZAP-13_LIE-14_TAU-14_FOG-14_LAW-14,0,outer,right
FIX-MAC,11,3.83246,71.2277,34.69,10.3837,81.1904,64.6732,FIX_MAC,FIX-MAC-11,FIX-11_MAC-11,ACE_EYE_POP_IVY_YES_AIR_COW_ODD_GAS_GIG_LUG_IRE,AIR-FIX-11_COW-FIX-11_FIX-ODD-11_FIX-GAS-11_FIX-GIG-11_FIX-LUG-11_ACE-FIX-7_EYE-FIX-7_FIX-POP-7_FIX-IVY-7_FIX-YES-7_AIR-MAC-11_GIG-MAC-11_IRE-MAC-7_MAC-POP-7_MAC-YES-7,ACE-FIX_EYE-FIX_FIX-POP_FIX-IVY_FIX-YES_AIR-FIX_COW-FIX_FIX-ODD_FIX-GAS_FIX-GIG_FIX-LUG_IRE-MAC_MAC-POP_MAC-YES_AIR-MAC_GIG-MAC,AIR-11_COW-11_ODD-11_GAS-11_GIG-11_LUG-11_ACE-7_EYE-7_POP-7_IVY-7_YES-7_AIR-11_GIG-11_IRE-7_POP-7_YES-7,0,in_to_out,mid
KEG-TAR,11,68.4782,72.4325,-1.23446,82.2775,92.348,20.5952,KEG_TAR,KEG-TAR-11,KEG-11_TAR-11,WHY_LUG_COW_ODD_WAS_JAR_PHI_SAW_SEX_YAY_EAR,KEG-LUG-11_COW-KEG-11_KEG-ODD-11_KEG-WAS-11_KEG-WHY-8_LUG-TAR-11_PHI-TAR-11_COW-TAR-11_EAR-TAR-11_TAR-WAS-11_JAR-TAR-8_SAW-TAR-8_SEX-TAR-8_TAR-WHY-8_TAR-YAY-8,KEG-WHY_KEG-LUG_COW-KEG_KEG-ODD_KEG-WAS_JAR-TAR_LUG-TAR_PHI-TAR_SAW-TAR_SEX-TAR_TAR-WHY_TAR-YAY_COW-TAR_EAR-TAR_TAR-WAS,LUG-11_COW-11_ODD-11_WAS-11_WHY-8_LUG-11_PHI-11_COW-11_EAR-11_WAS-11_JAR-8_SAW-8_SEX-8_WHY-8_YAY-8,0,in_to_out,right
KEG-LUG,11,39.4498,92.348,2.62721,68.4782,94.8215,20.5952,KEG_LUG,KEG-LUG-11,KEG-11_LUG-11,WHY_TAR_COW_ODD_WAS_ETA_JAR_PAY_TUX_FIX_GAS_IVY,KEG-TAR-11_COW-KEG-11_KEG-ODD-11_KEG-WAS-11_KEG-WHY-8_LUG-TAR-11_COW-LUG-11_FIX-LUG-11_GAS-LUG-11_LUG-ODD-11_ETA-LUG-8_JAR-LUG-8_LUG-PAY-8_LUG-TUX-8_LUG-WHY-8_IVY-LUG-7,KEG-WHY_KEG-TAR_COW-KEG_KEG-ODD_KEG-WAS_ETA-LUG_JAR-LUG_LUG-PAY_LUG-TAR_LUG-TUX_LUG-WHY_COW-LUG_FIX-LUG_GAS-LUG_LUG-ODD_IVY-LUG,TAR-11_COW-11_ODD-11_WAS-11_WHY-8_TAR-11_COW-11_FIX-11_GAS-11_ODD-11_ETA-8_JAR-8_PAY-8_TUX-8_WHY-8_IVY-7,0,in_to_out,right
LUG-TAR,11,39.4498,72.4325,-1.23446,82.2775,94.8215,2.62721,LUG_TAR,LUG-TAR-11,LUG-11_TAR-11,ETA_JAR_KEG_PAY_TUX_WHY_COW_FIX_GAS_ODD_IVY_PHI_SAW_SEX_YAY_EAR_WAS,KEG-LUG-11_COW-LUG-11_FIX-LUG-11_GAS-LUG-11_LUG-ODD-11_ETA-LUG-8_JAR-LUG-8_LUG-PAY-8_LUG-TUX-8_LUG-WHY-8_IVY-LUG-7_KEG-TAR-11_PHI-TAR-11_COW-TAR-11_EAR-TAR-11_TAR-WAS-11_JAR-TAR-8_SAW-TAR-8_SEX-TAR-8_TAR-WHY-8_TAR-YAY-8,ETA-LUG_JAR-LUG_KEG-LUG_LUG-PAY_LUG-TUX_LUG-WHY_COW-LUG_FIX-LUG_GAS-LUG_LUG-ODD_IVY-LUG_JAR-TAR_KEG-TAR_PHI-TAR_SAW-TAR_SEX-TAR_TAR-WHY_TAR-YAY_COW-TAR_EAR-TAR_TAR-WAS,KEG-11_COW-11_FIX-11_GAS-11_ODD-11_ETA-8_JAR-8_PAY-8_TUX-8_WHY-8_IVY-7_KEG-11_PHI-11_COW-11_EAR-11_WAS-11_JAR-8_SAW-8_SEX-8_WHY-8_YAY-8,0,inner,right
PHI-TAR,11,82.2775,72.4325,-1.23446,112.308,76.4797,11.8212,PHI_TAR,PHI-TAR-11,PHI-11_TAR-11,SEX_SAW_EAR_WAS_GEL_JAR_KEG_LUG_WHY_YAY_COW,EAR-PHI-11_PHI-WAS-11_PHI-SEX-8_PHI-SAW-8_GEL-PHI-10_KEG-TAR-11_LUG-TAR-11_COW-TAR-11_EAR-TAR-11_TAR-WAS-11_JAR-TAR-8_SAW-TAR-8_SEX-TAR-8_TAR-WHY-8_TAR-YAY-8,PHI-SEX_PHI-SAW_EAR-PHI_PHI-WAS_GEL-PHI_JAR-TAR_KEG-TAR_LUG-TAR_SAW-TAR_SEX-TAR_TAR-WHY_TAR-YAY_COW-TAR_EAR-TAR_TAR-WAS,EAR-11_WAS-11_SEX-8_SAW-8_GEL-10_KEG-11_LUG-11_COW-11_EAR-11_WAS-11_JAR-8_SAW-8_SEX-8_WHY-8_YAY-8,0,in_to_out,right
