Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z,Strip
0,5,5,ADO,JOB,11.442054586795162,92.03971706983647,39.46864737002697,9999
1,5,5,ADO,JOB,11.262218184187889,91.62525690339635,39.94450247712965,9999
2,5,5,ADO,JOB,11.082381781580615,91.21079673695623,40.420357584232335,9999
3,5,5,ADO,JOB,10.902545378973342,90.7963365705161,40.896212691335016,9999
4,5,5,ADO,JOB,10.722708976366068,90.38187640407598,41.3720677984377,9999
5,5,5,ADO,JOB,10.542872573758794,89.96741623763586,41.84792290554038,9999
6,5,5,ADO,JOB,10.36303617115152,89.55295607119574,42.32377801264306,9999
7,5,5,ADO,JOB,10.183199768544247,89.13849590475562,42.79963311974574,9999
8,5,5,ADO,JOB,10.003363365936973,88.7240357383155,43.275488226848424,9999
9,5,5,ADO,JOB,9.8235269633297,88.30957557187537,43.751343333951105,9999
10,5,5,ADO,JOB,9.643690560722426,87.89511540543525,44.22719844105379,9999
11,5,5,ADO,JOB,9.463854158115153,87.48065523899513,44.70305354815647,9999
12,5,5,ADO,JOB,9.284017755507879,87.066195072555,45.17890865525915,9999
13,5,5,ADO,JOB,9.104181352900605,86.65173490611488,45.65476376236183,9999
14,5,5,ADO,JOB,8.924344950293332,86.23727473967476,46.13061886946451,9999
15,5,5,ADO,JOB,8.744508547686058,85.82281457323464,46.606473976567194,9999
16,5,5,ADO,JOB,8.564672145078784,85.40835440679452,47.082329083669876,9999
17,5,5,ADO,JOB,8.38483574247151,84.9938942403544,47.55818419077256,9999
18,5,5,ADO,JOB,8.204999339864237,84.57943407391427,48.03403929787524,9999
19,5,5,ADO,JOB,8.025162937256964,84.16497390747415,48.50989440497792,9999
20,5,5,ADO,JOB,7.845326534649689,83.75051374103403,48.9857495120806,9999
21,5,5,ADO,JOB,7.6654901320424145,83.3360535745939,49.461604619183284,9999
22,5,5,ADO,JOB,7.48565372943514,82.92159340815378,49.937459726285965,9999
23,5,5,ADO,JOB,7.305817326827865,82.50713324171366,50.41331483338865,9999
24,5,5,ADO,JOB,7.125980924220591,82.09267307527354,50.88916994049133,9999
25,5,5,ADO,JOB,6.946144521613316,81.67821290883342,51.36502504759401,9999
26,5,5,ADO,JOB,6.766308119006042,81.2637527423933,51.84088015469669,9999
27,5,5,ADO,JOB,6.586471716398767,80.84929257595317,52.31673526179937,9999
28,5,5,ADO,JOB,6.406635313791493,80.43483240951305,52.792590368902054,9999
29,5,5,ADO,JOB,6.226798911184218,80.02037224307293,53.268445476004736,9999
30,5,5,ADO,JOB,6.046962508576944,79.6059120766328,53.74430058310742,9999
31,5,5,ADO,JOB,5.867126105969669,79.19145191019268,54.2201556902101,9999
32,5,5,ADO,JOB,5.687289703362395,78.77699174375256,54.69601079731278,9999
33,5,5,ADO,JOB,5.50745330075512,78.36253157731244,55.17186590441546,9999
34,5,5,ADO,JOB,5.327616898147846,77.94807141087232,55.64772101151814,9999
35,5,5,ADO,JOB,5.147780495540571,77.5336112444322,56.123576118620825,9999
36,5,5,ADO,JOB,4.967944092933297,77.11915107799207,56.59943122572351,9999
37,5,5,ADO,JOB,4.788107690326022,76.70469091155195,57.07528633282619,9999
38,5,5,ADO,JOB,4.608271287718748,76.29023074511183,57.55114143992887,9999
39,5,5,ADO,JOB,4.428434885111473,75.8757705786717,58.02699654703155,9999
40,5,5,ADO,JOB,4.248598482504199,75.46131041223158,58.50285165413423,9999
41,5,5,ADO,NIL,12.255412903760105,91.62164445300081,38.85362684930735,9999
42,5,5,ADO,NIL,12.431376301236998,91.02430037133148,39.060444099717,9999
43,5,5,ADO,NIL,12.607339698713892,90.42695628966214,39.26726135012665,9999
44,5,5,ADO,NIL,12.783303096190785,89.82961220799281,39.4740786005363,9999
45,5,5,ADO,NIL,12.959266493667679,89.23226812632348,39.68089585094595,9999
46,5,5,ADO,NIL,13.135229891144572,88.63492404465414,39.8877131013556,9999
47,5,5,ADO,NIL,13.311193288621466,88.03757996298481,40.09453035176525,9999
48,5,5,ADO,NIL,13.48715668609836,87.44023588131547,40.3013476021749,9999
49,5,5,ADO,NIL,13.663120083575253,86.84289179964614,40.50816485258455,9999
50,5,5,ADO,NIL,13.839083481052146,86.2455477179768,40.7149821029942,9999
51,5,5,ADO,NIL,14.01504687852904,85.64820363630747,40.92179935340385,9999
52,5,5,ADO,NIL,14.191010276005933,85.05085955463814,41.1286166038135,9999
53,5,5,ADO,NIL,14.366973673482827,84.4535154729688,41.33543385422315,9999
54,5,5,ADO,NIL,14.54293707095972,83.85617139129947,41.5422511046328,9999
55,5,5,ADO,NIL,14.718900468436614,83.25882730963014,41.749068355042446,9999
56,5,5,ADO,NIL,14.894863865913507,82.6614832279608,41.955885605452096,9999
57,5,5,ADO,NIL,15.0708272633904,82.06413914629147,42.162702855861745,9999
58,5,5,ADO,NIL,15.246790660867294,81.46679506462213,42.369520106271395,9999
59,5,5,ADO,NIL,15.422754058344188,80.8694509829528,42.576337356681044,9999
60,5,5,ADO,NIL,15.598717455821081,80.27210690128346,42.783154607090694,9999
61,5,5,ADO,NIL,15.774680853297975,79.67476281961413,42.98997185750034,9999
62,5,5,ADO,NIL,15.950644250774868,79.0774187379448,43.19678910790999,9999
63,5,5,ADO,NIL,16.126607648251763,78.48007465627546,43.40360635831964,9999
64,5,5,ADO,NIL,16.30257104572866,77.88273057460613,43.61042360872929,9999
65,5,5,ADO,NIL,16.478534443205554,77.2853864929368,43.81724085913894,9999
66,5,5,ADO,NIL,16.65449784068245,76.68804241126746,44.02405810954859,9999
67,5,5,ADO,NIL,16.830461238159344,76.09069832959813,44.23087535995824,9999
68,5,5,ADO,NIL,17.00642463563624,75.49335424792879,44.43769261036789,9999
69,5,5,ADO,NIL,17.182388033113135,74.89601016625946,44.64450986077754,9999
70,5,5,ADO,NIL,17.35835143059003,74.29866608459012,44.85132711118719,9999
71,5,5,ADO,NIL,17.534314828066925,73.70132200292079,45.05814436159684,9999
72,5,5,ADO,NIL,17.71027822554382,73.10397792125146,45.26496161200649,9999
73,5,5,ADO,NIL,17.886241623020716,72.50663383958212,45.47177886241614,9999
74,5,5,ADO,NIL,18.06220502049761,71.90928975791279,45.67859611282579,9999
75,5,5,ADO,NIL,18.238168417974506,71.31194567624345,45.885413363235436,9999
76,5,5,ADO,NIL,18.4141318154514,70.71460159457412,46.092230613645086,9999
77,5,5,ADO,NIL,18.590095212928297,70.11725751290479,46.299047864054735,9999
78,5,5,ADO,NIL,18.766058610405192,69.51991343123545,46.505865114464385,9999
79,5,5,ADO,NIL,18.942022007882088,68.92256934956612,46.712682364874034,9999
80,5,5,ADO,NIL,19.117985405358983,68.32522526789678,46.919499615283684,9999
81,5,5,ADO,NIL,19.293948802835878,67.72788118622745,47.12631686569333,9999
82,5,5,ADO,NIL,19.469912200312773,67.13053710455812,47.33313411610298,9999
83,5,5,ADO,NIL,19.64587559778967,66.53319302288878,47.53995136651263,9999
84,5,5,ADO,NIL,19.821838995266564,65.93584894121945,47.74676861692228,9999
85,5,5,ADO,NIL,19.99780239274346,65.33850485955011,47.95358586733193,9999
86,5,5,ADO,NIL,20.173765790220354,64.74116077788078,48.16040311774158,9999
87,5,5,ADO,NIL,20.34972918769725,64.14381669621145,48.36722036815123,9999
88,5,5,ADO,NIL,20.525692585174145,63.54647261454211,48.57403761856088,9999
89,5,5,ADO,NIL,20.70165598265104,62.94912853287278,48.78085486897053,9999
90,5,5,ADO,NIL,20.877619380127936,62.35178445120344,48.98767211938018,9999
91,5,5,ADO,NIL,21.05358277760483,61.75444036953411,49.19448936978983,9999
92,5,5,ADO,NIL,21.229546175081726,61.157096287864775,49.40130662019948,9999
93,5,5,ADO,NIL,21.40550957255862,60.55975220619544,49.60812387060913,9999
94,5,5,ADO,NIL,21.581472970035517,59.96240812452611,49.81494112101878,9999
95,5,5,ADO,NIL,21.757436367512412,59.36506404285677,50.021758371428426,9999
