Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
TOY,37.08808359,78.05762498,53.34773463,TOY-7_TOY-5,JOB_NIL,JOB-TOY_NIL-TOY,JOB-TOY-5_NIL-TOY-5_NIL-TOY-7,JOB-5_NIL-5_NIL-7,0,outer
JUG,-5.433488406,37.92189098,71.05300363,JUG-6_JUG-5,JOB_NIL_ERA_RIB_SOY_AHI,JOB-JUG_JUG-NIL_ERA-JUG_JUG-RIB_JUG-SOY_AHI-JUG,JOB-JUG-5_JUG-NIL-5_ERA-JUG-6_JUG-RIB-6_JUG-SOY-6_AHI-JUG-7,JOB-5_NIL-5_ERA-6_RIB-6_SOY-6_AHI-7,0,outer
NIL,25.22632359,54.72796798,52.16379663,NIL-7_NIL-5,ADO_JOB_JUG_TOY_AHI_EON_ERA,ADO-NIL_JOB-NIL_JUG-NIL_NIL-TOY_AHI-NIL_EON-NIL_ERA-NIL,ADO-NIL-5_JOB-NIL-5_JUG-NIL-5_NIL-TOY-5_NIL-TOY-7_AHI-NIL-7_EON-NIL-7_ERA-NIL-7,ADO-5_JOB-5_JUG-5_TOY-5_TOY-7_AHI-7_EON-7_ERA-7,0,inner
AHI,39.02183059,34.45504998,64.71688063,AHI-7,NIL_JUG,AHI-NIL_AHI-JUG,AHI-NIL-7_AHI-JUG-7,NIL-7_JUG-6,0,outer
EON,62.85992059,51.31187898,48.11208163,EON-7,NIL,EON-NIL,EON-NIL-7,NIL-7,0,outer
JOB,3.845794594,74.53298798,59.56868863,JOB-5,ADO_NAY_NIL_JUG_TOY,ADO-JOB_JOB-NAY_JOB-NIL_JOB-JUG_JOB-TOY,ADO-JOB-5_JOB-NAY-5_JOB-NIL-5_JOB-JUG-5_JOB-TOY-5,ADO-5_NAY-5_NIL-5_JUG-5_TOY-5,0,outer
ERA,13.73802359,14.67203198,62.12956063,ERA-14_ERA-6_ERA-7,JUG_NIL,ERA-JUG_ERA-NIL,ERA-NIL-7_ERA-JUG-6,NIL-7_JUG-6,0,inner
SOY,-25.26962541,6.414220983,63.01992663,SOY-6,JUG,JUG-SOY,JUG-SOY-6,JUG-6,0,inner
ADO,11.85316059,92.98717298,38.38084263,ADO-5,JOB_NIL,ADO-JOB_ADO-NIL,ADO-JOB-5_ADO-NIL-5,JOB-5_NIL-5,0,inner
NAY,-14.06673741,88.98864298,50.76425863,NAY-5,JOB,JOB-NAY,JOB-NAY-5,JOB-5,0,outer
RIB,0.777001594,-2.205857017,78.78930963,RIB-6_RIB-14,JUG,JUG-RIB,JUG-RIB-6,JUG-6,0,outer
