Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
11685,5,5,FUN,NAY,-17.40700867624883,88.05132955655031,50.24629777762086
11686,5,5,FUN,NAY,-16.782168170255208,88.22666603287212,50.343188986534216
11687,5,5,FUN,NAY,-16.157327664261587,88.40200250919392,50.44008019544757
11688,5,5,FUN,NAY,-15.532487158267966,88.57733898551572,50.536971404360926
11689,5,5,FUN,NAY,-14.907646652274344,88.75267546183753,50.63386261327428
11690,5,5,FUN,NAY,-14.282806146280723,88.92801193815933,50.73075382218764
11691,5,5,FUN,NAY,-13.657965640287102,89.10334841448113,50.82764503110099
11692,5,5,FUN,PLY,-41.38117693252999,80.68965095431332,46.49450939044821
11693,5,5,FUN,PLY,-40.98656545505998,80.16609492862665,46.521478150896414
11694,5,5,FUN,PLY,-40.591953977589974,79.64253890293998,46.54844691134462
11695,5,5,FUN,PLY,-40.197342500119966,79.1189828772533,46.575415671792825
11696,5,5,FUN,PLY,-39.80273102264996,78.59542685156663,46.60238443224103
11697,5,5,FUN,PLY,-39.40811954517995,78.07187082587996,46.62935319268924
11698,5,5,FUN,PLY,-39.01350806770994,77.54831480019328,46.65632195313744
11699,5,5,FUN,PLY,-38.618896590239935,77.02475877450661,46.68329071358565
11700,5,5,FUN,PLY,-38.22428511276993,76.50120274881994,46.710259474033855
11701,5,5,FUN,PLY,-37.82967363529992,75.97764672313326,46.73722823448206
11702,5,5,FUN,PLY,-37.43506215782991,75.45409069744659,46.764196994930266
11703,5,5,FUN,PLY,-37.0404506803599,74.93053467175991,46.79116575537847
11704,5,5,FUN,PLY,-36.645839202889896,74.40697864607324,46.81813451582668
11705,5,5,FUN,PLY,-36.25122772541989,73.88342262038657,46.845103276274884
11706,5,5,FUN,PLY,-35.85661624794988,73.3598665946999,46.87207203672309
11707,5,5,FUN,PLY,-35.46200477047987,72.83631056901322,46.899040797171295
11708,5,5,FUN,PLY,-35.067393293009864,72.31275454332655,46.9260095576195
11709,5,5,FUN,PLY,-34.67278181553986,71.78919851763987,46.95297831806771
11710,5,5,FUN,PLY,-34.27817033806985,71.2656424919532,46.97994707851591
11711,5,5,FUN,PLY,-33.88355886059984,70.74208646626653,47.00691583896412
11712,5,5,FUN,PLY,-33.48894738312983,70.21853044057985,47.033884599412325
11713,5,5,FUN,PLY,-33.094335905659825,69.69497441489318,47.06085335986053
11714,5,5,FUN,PLY,-32.69972442818982,69.17141838920651,47.087822120308736
11715,5,5,FUN,PLY,-32.30511295071981,68.64786236351983,47.11479088075694
11716,5,5,FUN,PLY,-31.910501473249806,68.12430633783316,47.14175964120515
11717,5,5,FUN,PLY,-31.5158899957798,67.60075031214649,47.168728401653354
11718,5,5,FUN,PLY,-31.121278518309797,67.07719428645981,47.19569716210156
11719,5,5,FUN,PLY,-30.726667040839793,66.55363826077314,47.222665922549766
11720,5,5,FUN,PLY,-30.33205556336979,66.03008223508647,47.24963468299797
11721,5,5,FUN,PLY,-29.937444085899784,65.5065262093998,47.27660344344618
