Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
3002,2,2,in_to_out,left,GYM,OAR,-98.1389700617656,48.39963739258403,-51.26558387430996,6
3003,2,2,in_to_out,left,GYM,OAR,-98.15377530032171,48.97512545610294,-50.95070177275041,6
3004,2,2,in_to_out,left,GYM,OAR,-98.16858053887782,49.55061351962184,-50.635819671190866,6
3005,2,2,in_to_out,left,GYM,OAR,-98.18338577743393,50.126101583140745,-50.32093756963132,6
3006,2,2,in_to_out,left,GYM,OAR,-98.19819101599003,50.70158964665965,-50.00605546807177,6
3007,2,2,in_to_out,left,GYM,OAR,-98.21299625454614,51.27707771017855,-49.691173366512224,6
3008,2,2,in_to_out,left,GYM,OAR,-98.22780149310225,51.85256577369746,-49.37629126495268,6
3009,2,2,in_to_out,left,GYM,OAR,-98.24260673165836,52.42805383721636,-49.06140916339313,6
3010,2,2,in_to_out,left,GYM,OAR,-98.25741197021446,53.003541900735264,-48.74652706183358,6
3011,2,2,in_to_out,left,GYM,OAR,-98.27221720877057,53.57902996425417,-48.431644960274035,6
3012,2,2,in_to_out,left,GYM,OAR,-98.28702244732668,54.15451802777307,-48.11676285871449,6
3013,2,2,in_to_out,left,GYM,OAR,-98.30182768588278,54.730006091291976,-47.80188075715494,6
3014,2,2,in_to_out,left,GYM,OAR,-98.31663292443889,55.30549415481088,-47.48699865559539,6
3015,2,2,in_to_out,left,GYM,OAR,-98.331438162995,55.880982218329784,-47.172116554035846,6
3016,2,2,in_to_out,left,GYM,OAR,-98.3462434015511,56.45647028184869,-46.8572344524763,6
3017,2,2,in_to_out,left,GYM,OAR,-98.36104864010721,57.03195834536759,-46.54235235091675,6
3018,2,2,in_to_out,left,GYM,OAR,-98.37585387866332,57.607446408886496,-46.227470249357204,6
3019,2,2,in_to_out,left,GYM,OAR,-98.39065911721943,58.1829344724054,-45.912588147797656,6
3020,2,2,in_to_out,left,GYM,OAR,-98.40546435577554,58.7584225359243,-45.59770604623811,6
3021,2,2,in_to_out,left,GYM,OAR,-98.42026959433164,59.33391059944321,-45.28282394467856,6
3022,2,2,in_to_out,left,GYM,OAR,-98.43507483288775,59.90939866296211,-44.967941843119014,6
3023,2,2,in_to_out,left,GYM,OAR,-98.44988007144386,60.484886726481015,-44.65305974155947,6
3024,2,2,in_to_out,left,GYM,OAR,-98.46468530999996,61.06037478999992,-44.33817763999992,6
3025,2,2,in_to_out,left,GYM,OAR,-98.47949054855607,61.63586285351882,-44.02329553844037,6
3026,2,2,in_to_out,left,GYM,OAR,-98.49429578711218,62.21135091703773,-43.708413436880825,6
3027,2,2,in_to_out,left,GYM,OAR,-98.50910102566829,62.78683898055663,-43.39353133532128,6
3028,2,2,in_to_out,left,GYM,OAR,-98.5239062642244,63.362327044075535,-43.07864923376173,6
3029,2,2,in_to_out,left,GYM,OAR,-98.5387115027805,63.93781510759444,-42.76376713220218,6
3030,2,2,in_to_out,left,GYM,OAR,-98.55351674133661,64.51330317111335,-42.448885030642636,6
3031,2,2,in_to_out,left,GYM,OAR,-98.56832197989272,65.08879123463225,-42.13400292908309,6
3032,2,2,in_to_out,left,GYM,OAR,-98.58312721844882,65.66427929815116,-41.81912082752354,6
3033,2,2,in_to_out,left,GYM,OAR,-98.59793245700493,66.23976736167006,-41.504238725963994,6
3034,2,2,in_to_out,left,GYM,OAR,-98.61273769556104,66.81525542518897,-41.18935662440445,6
3035,2,2,in_to_out,left,GYM,OAR,-98.62754293411714,67.39074348870787,-40.8744745228449,6
3036,2,2,in_to_out,left,GYM,OAR,-98.64234817267325,67.96623155222677,-40.55959242128535,6
3037,2,2,in_to_out,left,GYM,OAR,-98.65715341122936,68.54171961574568,-40.244710319725804,6
3038,2,2,in_to_out,left,GYM,OAR,-98.67195864978547,69.11720767926458,-39.92982821816626,6
3039,2,2,in_to_out,left,GYM,OAR,-98.68676388834157,69.69269574278349,-39.61494611660671,6
3040,2,2,in_to_out,left,GYM,OAR,-98.70156912689768,70.26818380630239,-39.30006401504716,6
3041,2,2,in_to_out,left,GYM,OAR,-98.71637436545379,70.84367186982129,-38.985181913487615,6
3042,2,2,in_to_out,left,GYM,OAR,-98.7311796040099,71.4191599333402,-38.67029981192807,6
3043,2,2,in_to_out,left,GYM,OAR,-98.745984842566,71.9946479968591,-38.35541771036852,6
3044,2,2,in_to_out,left,GYM,OAR,-98.76079008112211,72.570136060378,-38.04053560880897,6
3045,2,2,in_to_out,left,GYM,OAR,-98.77559531967822,73.14562412389691,-37.725653507249426,6
3046,2,2,in_to_out,left,GYM,OAR,-98.79040055823432,73.72111218741581,-37.41077140568988,6
3047,2,2,in_to_out,left,GYM,OAR,-98.80520579679043,74.29660025093472,-37.09588930413033,6
3048,2,2,in_to_out,left,GYM,OAR,-98.82001103534654,74.87208831445362,-36.781007202570784,6
3049,2,2,in_to_out,left,GYM,OAR,-98.83481627390265,75.44757637797252,-36.46612510101124,6
3050,2,2,in_to_out,left,GYM,OAR,-98.84962151245875,76.02306444149143,-36.15124299945169,6
3051,2,2,outer,left,OAR,ZIG,-99.36486732905524,76.17958694248487,-34.42158306392852,6
3052,2,2,outer,left,OAR,ZIG,-99.51148004809303,75.56811065638549,-34.23407864697138,6
3053,2,2,outer,left,OAR,ZIG,-99.65809276713082,74.9566343702861,-34.046574230014244,6
3054,2,2,outer,left,OAR,ZIG,-99.80470548616861,74.3451580841867,-33.859069813057104,6
3055,2,2,outer,left,OAR,ZIG,-99.9513182052064,73.73368179808732,-33.671565396099965,6
3056,2,2,outer,left,OAR,ZIG,-100.0979309242442,73.12220551198793,-33.484060979142825,6
3057,2,2,outer,left,OAR,ZIG,-100.24454364328199,72.51072922588854,-33.296556562185685,6
3058,2,2,outer,left,OAR,ZIG,-100.39115636231978,71.89925293978915,-33.109052145228546,6
3059,2,2,outer,left,OAR,ZIG,-100.53776908135757,71.28777665368976,-32.921547728271406,6
3060,2,2,outer,left,OAR,ZIG,-100.68438180039536,70.67630036759037,-32.73404331131427,6
3061,2,2,outer,left,OAR,ZIG,-100.83099451943315,70.06482408149098,-32.54653889435713,6
3062,2,2,outer,left,OAR,ZIG,-100.97760723847094,69.4533477953916,-32.35903447739999,6
3063,2,2,outer,left,OAR,ZIG,-101.12421995750873,68.8418715092922,-32.17153006044285,6
3064,2,2,outer,left,OAR,ZIG,-101.27083267654652,68.23039522319282,-31.984025643485708,6
3065,2,2,outer,left,OAR,ZIG,-101.41744539558431,67.61891893709343,-31.79652122652857,6
3066,2,2,outer,left,OAR,ZIG,-101.5640581146221,67.00744265099404,-31.60901680957143,6
3067,2,2,outer,left,OAR,ZIG,-101.71067083365989,66.39596636489465,-31.42151239261429,6
3068,2,2,outer,left,OAR,ZIG,-101.85728355269768,65.78449007879526,-31.23400797565715,6
3069,2,2,outer,left,OAR,ZIG,-102.00389627173547,65.17301379269587,-31.04650355870001,6
3070,2,2,outer,left,OAR,ZIG,-102.15050899077326,64.56153750659648,-30.85899914174287,6
3071,2,2,outer,left,OAR,ZIG,-102.29712170981105,63.95006122049708,-30.67149472478573,6
3072,2,2,outer,left,OAR,ZIG,-102.44373442884884,63.33858493439769,-30.48399030782859,6
3073,2,2,outer,left,OAR,ZIG,-102.59034714788663,62.72710864829829,-30.296485890871452,6
3074,2,2,outer,left,OAR,ZIG,-102.73695986692442,62.115632362198895,-30.108981473914312,6
3075,2,2,outer,left,OAR,ZIG,-102.88357258596221,61.5041560760995,-29.921477056957173,6
3076,2,2,outer,left,OAR,ZIG,-103.030185305,60.8926797900001,-29.733972640000033,6
3077,2,2,outer,left,OAR,ZIG,-103.1767980240378,60.281203503900706,-29.546468223042893,6
3078,2,2,outer,left,OAR,ZIG,-103.32341074307558,59.66972721780131,-29.358963806085754,6
3079,2,2,outer,left,OAR,ZIG,-103.47002346211337,59.05825093170191,-29.171459389128614,6
3080,2,2,outer,left,OAR,ZIG,-103.61663618115116,58.44677464560252,-28.983954972171475,6
3081,2,2,outer,left,OAR,ZIG,-103.76324890018896,57.83529835950312,-28.796450555214335,6
3082,2,2,outer,left,OAR,ZIG,-103.90986161922675,57.223822073403724,-28.608946138257195,6
3083,2,2,outer,left,OAR,ZIG,-104.05647433826454,56.61234578730433,-28.421441721300056,6
3084,2,2,outer,left,OAR,ZIG,-104.20308705730233,56.00086950120493,-28.233937304342916,6
3085,2,2,outer,left,OAR,ZIG,-104.34969977634012,55.389393215105535,-28.046432887385777,6
3086,2,2,outer,left,OAR,ZIG,-104.49631249537791,54.77791692900614,-27.858928470428637,6
3087,2,2,outer,left,OAR,ZIG,-104.6429252144157,54.16644064290674,-27.671424053471497,6
3088,2,2,outer,left,OAR,ZIG,-104.78953793345349,53.554964356807346,-27.483919636514358,6
3089,2,2,outer,left,OAR,ZIG,-104.93615065249128,52.94348807070795,-27.29641521955722,6
3090,2,2,outer,left,OAR,ZIG,-105.08276337152907,52.332011784608554,-27.10891080260008,6
3091,2,2,outer,left,OAR,ZIG,-105.22937609056686,51.72053549850916,-26.92140638564294,6
3092,2,2,outer,left,OAR,ZIG,-105.37598880960465,51.10905921240976,-26.7339019686858,6
3093,2,2,outer,left,OAR,ZIG,-105.52260152864244,50.497582926310365,-26.54639755172866,6
3094,2,2,outer,left,OAR,ZIG,-105.66921424768023,49.88610664021097,-26.35889313477152,6
3095,2,2,outer,left,OAR,ZIG,-105.81582696671802,49.27463035411157,-26.17138871781438,6
